title,tomato_score,audience_score,genre,release_date,rate,run_time,language,distributor
Manchester by the Sea,96,78,Drama,"Dec 16 2016",R (Some Sexual Content|Language Throughout),2h 17m,English,"Amazon Studios,Roadside Attractions"
The Adventures of Robin Hood,100,89,"Action/Adventure","Feb 11 1938",PG,Warner Bros. Pictures,English,Mono
North by Northwest,97,94,English,3-Nov-09,Mystery & thriller,Mono,Alfred Hitchcock,Flat (1.66:1)
La La Land,91,81,"Drama/Musical/Romance/Comedy","Dec 25 2016",PG-13 (Some Language),2h 8m,English,Lionsgate Films
Incredibles 2,93,84,"Animation/Action/Kids&family/Adventure/Comedy","Jun 15 2018",PG (Some Brief Mild Language|Action Sequences),1h 58m,English,Walt Disney
Zootopia,98,92,"Kids&family/Adventure/Animation/Comedy","Mar 4 2016",PG (Rude Humor|Action|Some Thematic Elements),Walt Disney,English,Dolby Atmos
The Bridge on the River Kwai,97,93,"Drama/War","Dec 18 1957",PG,Columbia Pictures,English,"Surround Mono Magnetic Stereo 6 Track Stereo"
Spider-Man: Far From Home,90,95,"Comedy/Action/Adventure/Fantasy","Jul 2 2019",PG-13 (Sci-Fi Action Violence|Brief Suggestive Comments|Some Language),2h 9m,English,"Columbia Pictures,Sony Pictures Entertainment"
Call Me by Your Name,94,86,"Lgbtq+/Drama/Romance","Jan 19 2018",R (Sexual Content|Nudity|Some Language),2h 12m,English,Sony Pictures Classics
Alien,98,94,"Sci-fi/Horror","May 25 1979",R,1h 57m,English,20th Century Fox
Shadow of a Doubt,100,89,"Mystery&thriller/Crime/Drama","Jan 1 1943",PG,Universal Pictures,English,Mono
L.A. Confidential,99,94,"Drama/Crime",23-Sep-08,R,"Surround DTS Dolby Digital",English,"35mm Scope (2.35:1)"
1917,89,88,"Drama/History/War","Jan 10 2020",R (Some Disturbing Images|Language|Violence),1h 59m,English,Universal Pictures
War for the Planet of the Apes,94,84,"Action/Adventure/Sci-fi","Jul 14 2017",PG-13 (Sequences of Sci-Fi Violence|Action|Some Disturbing Images|Thematic Elements),2h 22m,English,20th Century Fox
Paddington 2,99,87,"Kids&family/Adventure/Comedy","Jan 12 2018",PG (Some Action|Mild Rude Humor),1h 43m,English (United Kingdom),Warner Bros. Pictures
The Florida Project,96,80,Drama,"Oct 6 2017",R (Language Throughout|Disturbing Behavior|Sexual References|Some Drug Material),1h 55m,English,A24
Widows,91,61,"Mystery&thriller/Crime/Drama","Nov 16 2018",R (Some Sexual Content/Nudity|Language Throughout|Violence),2h 8m,English,20th Century Fox
A Hard Day's Night,98,89,"Comedy/Musical","Aug 11 1964",G,Miramax Films,English,"Stereo Surround"
The Godfather Part II,96,97,"Crime/Drama","Dec 12 1974",R,Paramount Pictures,English,Mono
Baby Driver,92,86,"Action/Mystery&thriller","Jun 28 2017",R (Violence|Language Throughout),1h 53m,English,Sony Pictures Entertainment
Never Rarely Sometimes Always,99,52,Drama,"Mar 13 2020",PG-13 (Language|Disturbing Thematic Content|Mature Thematic Content|Some Sexual References|Teen Drinking),1h 41m,English,Focus Features
Spider-Man: Homecoming,92,87,"Comedy/Adventure/Action/Fantasy","Jul 7 2017",PG-13 (Sci-Fi Action Violence|Brief Suggestive Comments|Some Language),2h 13m,English,Sony Pictures Entertainment
Pain and Glory,96,91,Drama,"Oct 4 2019",R (Language|Drug Use|Some Graphic Nudity),1h 53m,Spanish (Spain),Sony Pictures Classics
Top Hat,100,90,English,16-Aug-05,"Romance/Musical",Mono,Mark Sandrich,Flat (1.37:1)
